"","PMID","FullCitation"
"192","12379884","Pfeifer GP, Denissenko MF, Olivier M, et al. (2002) Tobacco smoke carcinogens, DNA damage and p53 mutations in smoking-associated cancers. Oncogene 21(48):7435-51"
"193","15748635","Pfeifer GP, You YH, Besaratinia A (2005) Mutations induced by ultraviolet light. Mutat Res 571(1-2):19-31"
"194","25231953","Piccart M, Hortobagyi GN, Campone M, et al. (2014) Everolimus plus exemestane for hormone-receptor-positive, human epidermal growth factor receptor-2-negative advanced breast cancer: overall survival results from BOLERO-2. Ann Oncol ePub Sep 2014"
"195","27357628","Pirollo KF, Nemunaitis J, Leung PK, et al. (2016) Safety and Efficacy in Advanced Solid Tumors of a Targeted Nanocomplex Carrying the p53 Gene Used in Combination with Docetaxel: A Phase 1b Study. Mol Ther 24(9):1697-706"
"196","25891304","Postow MA, Chesney J, Pavlick AC, et al. (2015) Nivolumab and ipilimumab versus ipilimumab in untreated melanoma. N Engl J Med 372(21):2006-17"
"197","21389100","Rajeshkumar NV, De Oliveira E, Ottenhof N, et al. (2011) MK-1775, a potent Wee1 inhibitor, synergizes with gemcitabine to achieve tumor regressions, selectively in p53-deficient pancreatic cancer xenografts. Clin Cancer Res 17(9):2799-806"
"198","23592373","Ramirez-Ardila DE, Helmijr JC, Look MP, et al. (2013) Hotspot mutations in PIK3CA associate with first-line treatment outcome for aromatase inhibitors but not for tamoxifen. Breast Cancer Res Treat 139(1):39-49"
"199","24156016","Reynisdottir I, Arason A, Einarsdottir BO, et al. (2013) High expression of ZNF703 independent of amplification indicates worse prognosis in patients with luminal B breast cancer. Cancer Med 2(4):437-46"
"200","15483017","Rinehart J, Adjei AA, Lorusso PM, et al. (2004) Multicenter phase II study of the oral MEK inhibitor, CI-1040, in patients with advanced non-small-cell lung, breast, colon, and pancreatic cancer. J Clin Oncol 22(22):4456-62"
"201","8646682","Risinger JI, Barrett JC, Watson P, et al. (1996) Molecular genetic evidence of the occurrence of breast cancer as an integral tumor in patients with the hereditary nonpolyposis colorectal carcinoma syndrome. Cancer 77(9):1836-43"
"202","22729224","Rivière JB, Mirzaa GM, O'Roak BJ, et al. (2012) De novo germline and postzygotic mutations in AKT3, PIK3R2 and PIK3CA cause a spectrum of related megalencephaly syndromes. Nat Genet 44(8):934-40"
"203","25765070","Rizvi NA, Hellmann MD, Snyder A, et al. (2015) Cancer immunology. Mutational landscape determines sensitivity to PD-1 blockade in non-small cell lung cancer. Science 348(6230):124-8"
"204","25704439","Rizvi NA, Mazières J, Planchard D, et al. (2015) Activity and safety of nivolumab, an anti-PD-1 immune checkpoint inhibitor, for patients with advanced, refractory squamous non-small-cell lung cancer (CheckMate 063): a phase 2, single-arm trial. Lancet Oncol ePub Feb 2015"
"205","25399552","Robert C, Long GV, Brady B, et al. (2014) Nivolumab in Previously Untreated Melanoma without BRAF Mutation. N Engl J Med ePub Nov 2014"
"206","25568919","Roberts SA, Gordenin DA (2014) Hypermutation in human cancer genomes: footprints and mechanisms. Nat Rev Cancer 14(12):786-800"
"207","11986249","Rosati R, La Starza R, Veronese A, et al. (2002) NUP98 is fused to the NSD3 gene in acute myeloid leukemia associated with t(8;11)(p11.2;p15). Blood 99(10):3857-60"
"208","26952546","Rosenberg JE, Hoffman-Censits J, Powles T, et al. (2016) Atezolizumab in patients with locally advanced and metastatic urothelial carcinoma who have progressed following treatment with platinum-based chemotherapy: a single-arm, multicentre, phase 2 trial. Lancet 387(10031):1909-20"
"209","24563076","Ross JS, Wang K, Gay L, et al. (2014) New routes to targeted therapy of intrahepatic cholangiocarcinomas revealed by next-generation sequencing. Oncologist 19(3):235-42"
"210","22430209","Ross RL, Askham JM, Knowles MA (2013) PIK3CA mutation spectrum in urothelial carcinoma reflects cell context-dependent signaling and phenotypic outputs. Oncogene 32(6):768-76"
"211","21266528","Rudd ML, Price JC, Fogoros S, et al. (2011) A unique spectrum of somatic PIK3CA (p110alpha) mutations within primary endometrial carcinomas. Clin Cancer Res 17(6):1331-40"
"212","29559561","Rugo HS, Delord JP, Im SA, et al. (2018) Safety and Antitumor Activity of Pembrolizumab in Patients with Estrogen Receptor‒Positive/Human Epidermal Growth Factor Receptor 2‒Negative Advanced Breast Cancer. Clin Cancer Res"
"213","19466510","Salemis NS, Nakos G, Sambaziotis D, et al. (2010) Breast cancer associated with type 1 neurofibromatosis. Breast Cancer 17(4):306-9"
"214","24979463","Samartzis EP, Gutsche K, Dedes KJ, et al. (2014) Loss of ARID1A expression sensitizes cancer cells to PI3K- and AKT-inhibition. Oncotarget ePub Jun 2014"
"215","15950905","Samuels Y, Diaz LA, Schmidt-Kittler O, et al. (2005) Mutant PIK3CA promotes cell growth and invasion of human cancer cells. Cancer Cell 7(6):561-73"
"216","27486176","Santin AD, Bellone S, Buza N, et al. (2016) Regression of chemotherapy-resistant Polymerase epsilon (POLE) ultra-mutated and MSH6 hyper-mutated endometrial tumors with nivolumab. Clin Cancer Res ePub Aug 2016"
"217","22363436","Scrima M, De Marco C, Fabiani F, et al. (2012) Signaling networks associated with AKT activation in non-small cell lung cancer (NSCLC): new insights on the role of phosphatydil-inositol-3 kinase. PLoS ONE 7(2):e30427"
"218","22573716","See WL, Tan IL, Mukherjee J, et al. (2012) Sensitivity of glioblastomas to clinically available MEK inhibitors is defined by neurofibromin 1 deficiency. Cancer Res 72(13):3350-9"
"219","19123071","Shanley S, Fung C, Milliken J, et al. (2009) Breast cancer immunohistochemistry can be useful in triage of some HNPCC families. Fam Cancer 8(3):251-5"
"220","25025450","Shi M, Roemer MG, Chapuy B, et al. (2014) Expression of Programmed Cell Death 1 Ligand 2 (PD-L2) Is a Distinguishing Feature of Primary Mediastinal (Thymic) Large B-cell Lymphoma and Associated With PDCD1LG2 Copy Gain. Am J Surg Pathol ePub Jul 2014"
"221","19394761","Shibata T, Kokubu A, Tsuta K, et al. (2009) Oncogenic mutation of PIK3CA in small cell lung carcinoma: a potential therapeutic target pathway for chemotherapy-resistant lung cancer. Cancer Lett 283(2):203-11"
"222","24684785","Singh J, Novik Y, Stein S, et al. (2014) Phase 2 trial of everolimus and carboplatin combination in patients with triple negative metastatic breast cancer. Breast Cancer Res 16(2):R32"
"223","21328542","Sircoulomb F, Nicolas N, Ferrari A, et al. (2011) ZNF703 gene amplification at 8p12 specifies luminal B breast cancer. EMBO Mol Med 3(3):153-66"
"224","21317240","Slorach EM, Chou J, Werb Z (2011) Zeppo1 is a novel metastasis promoter that represses E-cadherin expression and regulates p120-catenin isoform expression and localization. Genes Dev 25(5):471-84"
"225","25409260","Snyder A, Makarov V, Merghoub T, et al. (2014) Genetic basis for clinical response to CTLA-4 blockade in melanoma. N Engl J Med 371(23):2189-99"
"226","23355100","Sorrell AD, Espenschied CR, Culver JO, et al. (2013) Tumor protein p53 (TP53) testing and Li-Fraumeni syndrome : current status of clinical applications and future directions. Mol Diagn Ther 17(1):31-47"
"227","22722201","Stephens PJ, Tarpey PS, Davies H, et al. (2012) The landscape of cancer genes and mutational processes in breast cancer. Nature 486(7403):400-4"
"228","23318448","Streppel MM, Lata S, DelaBastide M, et al. (2014) Next-generation sequencing of endoscopic biopsies identifies ARID1A as a tumor-suppressor gene in Barrett's esophagus. Oncogene 33(3):347-57"
"229","25982012","Subbiah V, Berry J, Roxas M, et al. (2015) Systemic and CNS activity of the RET inhibitor vandetanib combined with the mTOR inhibitor everolimus in KIF5B-RET re-arranged non-small cell lung cancer with brain metastases. Lung Cancer 89(1):76-9"
"230","25466466","Suzuki S, Kurabe N, Ohnishi I, et al. (2015) NSD3-NUT-expressing midline carcinoma of the lung: first characterization of primary cancer tissue. Pathol Res Pract 211(5):404-8"
"231","19380029","Taketani T, Taki T, Nakamura H, et al. (2009) NUP98-NSD3 fusion gene in radiation-associated myelodysplastic syndrome with t(8;11)(p11;p15) and expression pattern of NSD family genes. Cancer Genet Cytogenet 190(2):108-12"
"232","24714771","Taube JM, Klein A, Brahmer JR, et al. (2014) Association of PD-1, PD-1 Ligands, and Other Features of the Tumor Immune Microenvironment with Response to Anti-PD-1 Therapy. Clin Cancer Res ePub Apr 2014"
"233","10780879","Taubert H, Meye A, Würl P (1998) Soft tissue sarcomas and p53 mutations. Mol Med 4(6):365-72"
"234","24476821","The Cancer Genome Atlas Research Network (2014) Comprehensive molecular characterization of urothelial bladder carcinoma. Nature ePub Jan 2014"
"235","25079317","The Cancer Genome Atlas Research Network, Analysis Working Group: Dana-Farber Cancer Institute, Institute for Systems Biology, et al. (2014) Comprehensive molecular characterization of gastric adenocarcinoma. Nature ePub Jul 2014"
"236","8646743","Thompson FH, Nelson MA, Trent JM, et al. (1996) Amplification of 19q13.1-q13.2 sequences in ovarian cancer. G-band, FISH, and molecular studies. Cancer Genet Cytogenet 87(1):55-62"
"237","15569934","Thompson RH, Gillett MD, Cheville JC, et al. (2004) Costimulatory B7-H1 in renal cell carcinoma patients: Indicator of tumor aggressiveness and potential therapeutic target. Proc Natl Acad Sci USA 101(49):17174-9"
"238","16585157","Thompson RH, Kuntz SM, Leibovich BC, et al. (2006) Tumor B7-H1 is associated with poor prognosis in renal cell carcinoma patients with long-term follow-up. Cancer Res 66(7):3381-5"
"239","25344362","Tolcher AW, Bendell JC, Papadopoulos KP, et al. (2014) A Phase IB Trial of the Oral MEK Inhibitor Trametinib (GSK1120212) in Combination With Everolimus in Patients With Advanced Solid Tumors. Ann Oncol ePub Oct 2014"
"240","22658127","Topalian SL, Hodi FS, Brahmer JR, et al. (2012) Safety, activity, and immune correlates of anti-PD-1 antibody in cancer. N Engl J Med 366(26):2443-54"
"241","24590637","Topalian SL, Sznol M, McDermott DF, et al. (2014) Survival, durable tumor remission, and long-term safety in patients with advanced melanoma receiving nivolumab. J Clin Oncol 32(10):1020-30"
"242","24497532","Twa DD, Chan FC, Ben-Neriah S, et al. (2014) Genomic rearrangements involving programmed death ligands are recurrent in primary mediastinal large B-cell lymphoma. Blood 123(13):2062-5"
"243","8544190","Upadhyaya M, Maynard J, Osborn M, et al. (1995) Characterisation of germline mutations in the neurofibromatosis type 1 (NF1) gene. J Med Genet 32(9):706-10"
"244","26359337","Van Allen EM, Miao D, Schilling B, et al. (2015) Genomic correlates of response to CTLA-4 blockade in metastatic melanoma. Science 350(6257):207-11"
"245","23359294","Végran F, Rebucci M, Chevrier S, et al. (2013) Only missense mutations affecting the DNA binding domain of p53 influence outcomes in patients with breast carcinoma. PLoS ONE 8(1):e55103"
"246","23480528","Verstovsek S, Mesa RA, Gotlib J, et al. (2013) The clinical benefit of ruxolitinib across patient subgroups: analysis of a placebo-controlled, Phase III study in patients with myelofibrosis. Br J Haematol 161(4):508-16"
"247","12094235","Vivanco I, Sawyers CL (2002) The phosphatidylinositol 3-Kinase AKT pathway in human cancer. Nat Rev Cancer 2(7):489-501"
"248","25002028","Vora SR, Juric D, Kim N, et al. (2014) CDK 4/6 Inhibitors Sensitize PIK3CA Mutant Breast Cancer to PI3K Inhibitors. Cancer Cell 26(1):136-49"
"249","22851646","Wallace MD, Pfefferle AD, Shen L, et al. (2012) Comparative oncogenomics implicates the neurofibromin 1 gene (NF1) as a breast cancer driver. Genetics 192(2):385-96"
"250","20215533","Walsh MD, Buchanan DD, Cummings MC, et al. (2010) Lynch syndrome-associated breast cancers: clinicopathologic characteristics of a case series from the colon cancer family registry. Clin Cancer Res 16(7):2214-24"
"251","16551709","Walsh T, Casadei S, Coats KH, et al. (2006) Spectrum of mutations in BRCA1, BRCA2, CHEK2, and TP53 in families at high risk of breast cancer. JAMA 295(12):1379-88"
"252","22808142","Wang DD, Chen YB, Pan K, et al. (2012) Decreased expression of the ARID1A gene is associated with poor prognosis in primary gastric cancer. PLoS ONE 7(7):e40364"
"253","22037554","Wang K, Kan J, Yuen ST, et al. (2011) Exome sequencing identifies frequent mutation of ARID1A in molecular subtypes of gastric cancer. Nat Genet 43(12):1219-23"
"254","21676217","Wang L, Zhang Q, Zhang J, et al. (2011) PI3K pathway activation results in low efficacy of both trastuzumab and lapatinib. BMC Cancer 11:248"
"255","22965642","Wang X, Levin AM, Smolinski SE, et al. (2012) Breast cancer and other neoplasms in women with neurofibromatosis type 1: a retrospective review of cases in the Detroit metropolitan area. Am J Med Genet A 158A(12):3061-4"
"256","25795410","Weber JS, D'Angelo SP, Minor D, et al. (2015) Nivolumab versus chemotherapy in patients with advanced melanoma who progressed after anti-CTLA-4 treatment (CheckMate 037): a randomised, controlled, open-label, phase 3 trial. Lancet Oncol 16(4):375-84"
"257","25561809","Wei XL, Wang DS, Xi SY, et al. (2014) Clinicopathologic and prognostic relevance of ARID1A protein loss in colorectal cancer. World J Gastroenterol 20(48):18404-12"
"258","25314964","Weiss B, Widemann BC, Wolters P, et al. (2014) Sirolimus for progressive neurofibromatosis type 1-associated plexiform neurofibromas: a Neurofibromatosis Clinical Trials Consortium phase II study. Neuro-oncology ePub Oct 2014"
"259","24912489","Wheler JJ, Moulder SL, Naing A, et al. (2014) Anastrozole and everolimus in advanced gynecologic and breast malignancies: activity and molecular alterations in the PI3K/AKT/mTOR pathway. Oncotarget 5(10):3029-38"
"260","23288408","Whittaker SR, Theurillat JP, Van Allen E, et al. (2013) A genome-scale RNA interference screen implicates NF1 loss in resistance to RAF inhibition. Cancer Discov 3(3):350-62"
"261","24559118","Wiegand KC, Hennessy BT, Leung S, et al. (2014) A functional proteogenomic analysis of endometrioid and clear cell carcinomas using reverse phase protein array and mutation analysis: protein expression is histotype-specific and loss of ARID1A/BAF250a is associated with AKT phosphorylation. BMC Cancer 14:120"
"262","20942669","Wiegand KC, Shah SP, Al-Agha OM, et al. (2010) ARID1A mutations in endometriosis-associated ovarian carcinomas. N Engl J Med 363(16):1532-43"
"263","24767857","Wiegand KC, Sy K, Kalloger SE, et al. (2014) ARID1A/BAF250a as a prognostic marker for gastric carcinoma: a study of 2 cohorts. Hum Pathol 45(6):1258-68"
"264","19117870","Williams VC, Lucas J, Babcock MA, et al. (2009) Neurofibromatosis type 1 revisited. Pediatrics 123(1):124-33"
"265","23233719","Wolff AC, Lazar AA, Bondarenko I, et al. (2013) Randomized phase III placebo-controlled trial of letrozole plus oral temsirolimus as first-line endocrine therapy in postmenopausal women with locally advanced or metastatic breast cancer. J Clin Oncol 31(2):195-202"
"266","19915146","Wu H, Shekar SC, Flinn RJ, et al. (2009) Regulation of Class IA PI 3-kinases: C2 domain-iSH2 domain contacts inhibit p85/p110alpha and are disrupted in oncogenic p85 mutants. Proc Natl Acad Sci USA 106(48):20258-63"
"267","21666724","Wu J, Liu S, Liu G, et al. (2012) Identification and functional analysis of 9p24 amplified genes in human breast cancer. Oncogene 31(3):333-41"
"268","24618703","Wu RC, Wang TL, Shih IeM (2014) The emerging roles of ARID1A in tumor suppression. Cancer Biol Ther 15(6):655-64"
"269","24833095","Xie C, Fu L, Han Y, et al. (2014) Decreased ARID1A expression facilitates cell proliferation and inhibits 5-fluorouracil-induced apoptosis in colorectal carcinoma. Tumour Biol 35(8):7921-7"
"270","18171600","Xing H, Weng D, Chen G, et al. (2008) Activation of fibronectin/PI-3K/Akt2 leads to chemoresistance to docetaxel by regulating survivin protein expression in ovarian and breast cancer cells. Cancer Lett 261(1):108-19"
"271","12489850","Xu L, Huang CC, Huang W, et al. (2002) Systemic tumor-targeted gene delivery by anti-transferrin receptor scFv-immunoliposomes. Mol Cancer Ther 1(5):337-46"
"272","11713371","Xu L, Tang WH, Huang CC, et al. (2001) Systemic p53 gene therapy of cancer with immunolipoplexes targeted by anti-transferrin receptor scFv. Mol Med 7(10):723-34"
"273","24293408","Yan HB, Wang XF, Zhang Q, et al. (2014) Reduced expression of the chromatin remodeling gene ARID1A enhances gastric cancer cell migration and invasion via downregulation of E-cadherin transcription. Carcinogenesis 35(4):867-76"
"274","24481460","Yang G, Ma F, Zhong M, et al. (2014) ZNF703 acts as an oncogene that promotes progression in gastric cancer. Oncol Rep 31(4):1877-82"
"275","25311944","Ye J, Zhou Y, Weiser MR, et al. (2014) Immunohistochemical detection of ARID1A in colorectal carcinoma: loss of staining is associated with sporadic microsatellite unstable tumors with medullary histology and high TNM stage. Hum Pathol 45(12):2430-6"
"276","8137273","Yee CJ, Roodi N, Verrier CS, et al. (1994) Microsatellite instability and loss of heterozygosity in breast cancer. Cancer Res 54(7):1641-4"
"277","24459582","Yokoyama Y, Matsushita Y, Shigeto T, et al. (2014) Decreased ARID1A expression is correlated with chemoresistance in epithelial ovarian cancer. J Gynecol Oncol 25(1):58-63"
"278","21081928","You JF, Buhard O, Ligtenberg MJ, et al. (2010) Tumours with loss of MSH6 expression are MSI-H when screened with a pentaplex of five mononucleotide repeats. Br J Cancer 103(12):1840-5"
"279","29209571","Yuan Y, Kos FJ, He TF, et al. (2017) Complete regression of cutaneous metastases with systemic immune response in a patient with triple negative breast cancer receiving p53MVA vaccine with pembrolizumab. Oncoimmunology 6(12):e1363138"
"280","25892646","Zaman K, Winterhalder R, Mamot C, et al. (2015) Fulvestrant with or without selumetinib, a MEK 1/2 inhibitor, in breast cancer progressing after aromatase inhibitor therapy: a multicentre randomised placebo-controlled double-blind phase II trial, SAKK 21/08. Eur J Cancer 51(10):1212-20"
"281","22484628","Zang ZJ, Cutcutache I, Poon SL, et al. (2012) Exome sequencing of gastric adenocarcinoma identifies recurrent somatic mutations in cell adhesion and chromatin remodeling genes. Nat Genet 44(5):570-4"
"282","23991038","Zhang X, Mu X, Huang O, et al. (2013) Luminal breast cancer cell lines overexpressing ZNF703 are resistant to tamoxifen through activation of Akt/mTOR signaling. PLoS ONE 8(8):e72053"
"283","21889920","Zhang X, Zhang Y, Yang Y, et al. (2012) Frequent low expression of chromatin remodeling gene ARID1A in breast cancer and its clinical significance. Cancer Epidemiol 36(3):288-93"
"284","24430365","Zhao J, Liu C, Zhao Z (2014) ARID1A: a potential prognostic factor for breast cancer. Tumour Biol ePub Jan 2014"
"285","18794883","Zhao L, Vogt PK (2008) Class I PI3K in oncogenic cellular transformation. Oncogene 27(41):5486-96"
"286","24947927","Zimmer L, Barlesi F, Martinez-Garcia M, et al. (2014) Phase I Expansion and Pharmacodynamic Study of the Oral MEK Inhibitor RO4987655 (CH4987655) in Selected Patients with Advanced Cancer with RAS-RAF Mutations. Clin Cancer Res 20(16):4251-61"
